# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.835676949549388,4.791671838982777,-0.08828965497668632,0,1.0,-0.48879632025792513,0.0,0.0,0.0
 0.10780445976136177,2.841487843422582,4.791662884706814,-0.08828965497668632,0.10780445976136177,1.0,-0.48879632025792513,0.0,-3.5971078861172554,0.0
 0.15391471921705627,2.847521753682842,4.791636119247457,-0.25415323289567776,0.1539147192170563,1.0000000000000007,-0.4340768546924052,0.0,-4.204300079549866,0.0
 0.1902633881697777,2.853776803929243,4.791591688657504,-0.4069739446651362,0.19026338816977773,1.0,-0.387311471152999,0.0,-4.493520332071937,0.0
 0.22169658836973588,2.86025111776086,4.791529738989751,-0.548219668865736,0.2216965883697359,1.0,-0.3471002935016766,0.0,-4.614823711765475,0.0
 0.250067430058584,2.86694281877677,4.791450416296994,-0.6791461018141768,0.25006743005858406,1.0000000000000009,-0.3123294210344447,0.0,-4.636303216360964,0.0
 0.2763141195979016,2.873850030576047,4.791353866632033,-0.8008337129441425,0.27631411959790164,1.0,-0.2821049891843783,0.0,-4.595526476185148,0.0
 0.30098670766688573,2.8809708767577664,4.791240236047663,-0.9142172446511689,0.30098670766688584,1.0000000000000022,-0.255704050904334,0.0,-4.515257418766261,0.0
 0.3244387942315248,2.8883034809210044,4.791109670596682,-1.020109452497704,0.3244387942315249,1.0,-0.23253760293791348,0.0,-4.41005489860317,0.0
 0.34691264204643235,2.895845966664836,4.790962316331886,-1.1192203551442992,0.34691264204643246,1.0,-0.21212247971792378,0.0,-4.289548969244153,0.0
 0.3685821927009429,2.9035964575883373,4.790798319306074,-1.212172953818339,0.36858219270094306,1.0000000000000027,-0.19405979261498385,0.0,-4.160247211566882,0.0
 0.3895769065344187,2.911553077290582,4.79061782557204,-1.2995161535017012,0.38957690653441884,1.0,-0.1780182489823785,0.0,-4.026603984212128,0.0
 0.4099959238352956,2.9197139493706477,4.790420981182583,-1.3817354499191086,0.4099959238352958,1.0000000000000027,-0.1637211406498615,0.0,-3.891686435727595,0.0
 0.42991694558050514,2.928077197427608,4.790207932190501,-1.459261820030775,0.42991694558050536,1.0,-0.1509361210148889,0.0,-3.7576054201927067,0.0
 0.44940205120103055,2.9366409450605393,4.789978824648589,-1.5324791585234887,0.44940205120103077,1.0,-0.13946711281435323,0.0,-3.625802564138587,0.0
 0.46850164923560567,2.945403315868517,4.7897338046096465,-1.6017305300512674,0.4685016492356059,1.0,-0.12914786288995028,0.0,-3.4972459724030545,0.0
 0.48725724211855037,2.954362433450616,4.7894730181264675,-1.6673234517211772,0.48725724211855065,1.0000000000000029,-0.1198367720030468,0.0,-3.3725660908189243,0.0
 0.5057034112780762,2.963516421405912,4.789196611251852,-1.7295343763341038,0.5057034112780764,0.999999999999997,-0.11141272699590847,0.0,-3.252151480345353,0.0
 0.523869274228856,2.972863403333481,4.788904730038595,-1.788612514421233,0.5238692742288562,1.0,-0.10377171906495557,0.0,-3.1362171035231863,0.0
 0.54177957484884,2.982401502832397,4.788597520539495,-1.844783105554869,0.5417795748488402,1.0,-0.09682408433835524,0.0,-3.0248535311055003,0.0
 0.5594555130734424,2.9921288435017366,4.788275128807348,-1.8982502297091604,0.5594555130734427,1.0,-0.09049224558170313,0.0,-2.9180626428301033,0.0
 0.5769153857993562,3.0020435489405752,4.787937700894953,-1.9491992320592175,0.5769153857993564,1.0,-0.08470884818564821,0.0,-2.815783707772829,0.0
 0.5941750886026451,3.012143742747987,4.787585382855104,-1.9977988220137195,0.5941750886026453,1.0,-0.07941521953898187,0.0,-2.717912498519608,0.0
 0.6112485132281962,3.022427548523049,4.7872183207406005,-2.0442028961960372,0.6112485132281964,1.0,-0.07456008948997174,0.0,-2.624315360736533,0.0
 0.628147865924659,3.032893089864836,4.786836660604238,-2.0885521270638687,0.6281478659246592,1.0,-0.07009851907571775,0.0,-2.534839550249618,0.0
 0.6448839248990295,3.0435384903724234,4.786440548498815,-2.130975351267413,0.6448839248990296,0.9999999999999933,-0.06599100629851981,0.0,-2.4493208490415346,0.0
 0.6614662504027728,3.0543618736448863,4.786030130477128,-2.171590786849325,0.661466250402773,1.0,-0.06220273166533757,0.0,-2.3675891351730103,0.0
 0.6779033575723806,3.065361363281301,4.785605552591973,-2.2105071031977626,0.6779033575723807,1.0,-0.05870292162282242,0.0,-2.2894724469388095,0.0
 0.6942028596999,3.076535082880741,4.7851669608961505,-2.247824364217539,0.6942028596999001,1.0,-0.055464308911708136,0.0,-2.2147999182586147,0.0
 0.710371587817872,3.0878811560422843,4.784714501442453,-2.283634861931569,0.710371587817872,0.9999999999999931,-0.05246267478438757,0.0,-2.143403855283023,0.0
 0.7264156911559623,3.0993977063650044,4.784248320283681,-2.318023854880991,0.7264156911559623,1.0,-0.04967645680815342,0.0,-2.0751212019671836,0.0
 0.7423407220321063,3.1110828574479776,4.78376856347263,-2.3510702240940593,0.7423407220321063,1.0,-0.047086414843429306,0.0,-2.0097945046669605,0.0
 0.758151707987778,3.122934732890279,4.783275377062097,-2.382847056781135,0.7581517079877781,1.000000000000007,-0.044675342750697615,0.0,-1.9472725461714098,0.0
 0.7738532134010859,3.1349514562909837,4.78276890710488,-2.4134221672060314,0.773853213401086,1.0,-0.042427822319317715,0.0,-1.8874107002155378,0.0
