# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9288254290794298,4.9242715628288405,-0.1168352080196975,0,1.0,-0.3251054709125246,0.0,0.0,0.0
 0.15551655229041803,1.9409181029558404,4.9242469039091405,-0.1168352080196975,0.15551655229041803,1.0,-0.3251054709125246,0.0,-3.4782624473230643,0.0
 0.22077055399009143,1.953195001664792,4.9241732349742735,-0.34380575166922694,0.22077055399009143,1.0,-0.3079050039628793,0.0,-4.309516535120583,0.0
 0.2714032325826412,1.9656544408258647,4.924051017760587,-0.5620081172812661,0.27140323258264115,0.9999999999999989,-0.29188512649727316,0.0,-4.864537719135056,0.0
 0.3145514258980616,1.978294736058638,4.923880714004427,-0.7719041311766598,0.31455142589806157,1.0,-0.27694615394190647,0.0,-5.258886848706502,0.0
 0.3529663409734213,1.991114202982692,4.923662785442143,-0.9739238228606458,0.35296634097342117,0.9999999999999986,-0.2629982613906649,0.0,-5.544796228568341,0.0
 0.3880522551075411,2.004111157217606,4.923397693810081,-1.1684680672273862,0.388052255107541,1.0,-0.2499603738973069,0.0,-5.752062883161184,0.0
 0.4206393300491701,2.0172839143829604,4.923085900844589,-1.355910971469922,0.42063933004917,1.0,-0.237759196112593,0.0,-5.899837921994804,0.0
 0.4512657753271424,2.0306307900983347,4.9227278682820135,-1.536602034736802,0.4512657753271423,1.0,-0.22632836133915518,0.0,-6.001362262139255,0.0
 0.48030352751201405,2.0441500999833084,4.922324057858703,-1.7108681048764423,0.48030352751201394,1.0,-0.21560768486102722,0.0,-6.066250343636675,0.0
 0.5080219762123327,2.0578401596574625,4.921874931311006,-1.8790151538298259,0.5080219762123326,1.0,-0.20554250663491164,0.0,-6.101731169981334,0.0
 0.53462340002985,2.0716992847403755,4.921380950375268,-2.041329890703055,0.5346234000298499,1.0,-0.196083112420987,0.0,-6.113382640152796,0.0
 0.5602640883081534,2.085725790851628,4.920842576787837,-2.1980812293052043,0.5602640883081533,1.0,-0.18718422215198782,0.0,-6.105594717348975,0.0
 0.5850676337043614,2.099917993610799,4.920260272285062,-2.3495216250478177,0.5850676337043612,0.9999999999999956,-0.1788045380258052,0.0,-6.081876435996979,0.0
 0.6091336716959289,2.114274208637469,4.919634498603288,-2.49588829441654,0.6091336716959287,1.0,-0.17090634364140067,0.0,-6.045067610651974,0.0
 0.6325438373602956,2.128792751551218,4.918965717478864,-2.6374043286342,0.6325438373602955,1.0000000000000047,-0.16345514863536248,0.0,-5.997489609252706,0.0
 0.6553659500032422,2.1434719379716247,4.918254390648137,-2.7742797120714666,0.655365950003242,1.0,-0.15641937244448045,0.0,-5.94105561071774,0.0
 0.6776570294233247,2.1583100835182703,4.917500979847455,-2.906712254529103,0.6776570294233246,1.0,-0.14977006315940833,0.0,-5.877353052709951,0.0
 0.6994655187377649,2.173305503810734,4.916705946813165,-3.03488844577632,0.6994655187377649,1.000000000000005,-0.1434806465441506,0.0,-5.80770644578126,0.0
 0.7208329544080575,2.1884565144685952,4.915869753281615,-3.158984239648495,0.7208329544080575,1.0,-0.13752670207881706,0.0,-5.733226006480562,0.0
 0.7417952424082039,2.2037614311114346,4.914992860989151,-3.27916577436627,0.741795242408204,1.0000000000000053,-0.13188576253932305,0.0,-5.654845829209792,0.0
 0.7623836481900126,2.219218569358831,4.914075731672122,-3.3955900349316095,0.7623836481900127,1.0,-0.1265371346151331,0.0,-5.573354211925606,0.0
 0.7826255749990058,2.234826244830365,4.913118827066875,-3.508405462970001,0.7826255749990059,1.0,-0.12146173804889343,0.0,-5.489417994333713,0.0
 0.8025451832022903,2.2505827731456156,4.912122608909757,-3.617752518681189,0.8025451832022904,1.0,-0.11664196071913441,0.0,-5.4036022784702755,0.0
 0.8221638884912855,2.2664864699241636,4.911087538937117,-3.7237641992814403,0.8221638884912856,1.0,-0.112061529424334,0.0,-5.316386531452408,0.0
 0.8415007666206982,2.2825356507855883,4.910014078885301,-3.8265665177289865,0.8415007666206983,1.0,-0.1077053916962888,0.0,-5.2281778290765155,0.0
 0.860572885187075,2.2987286313494693,4.908902690490657,-3.9262789451712363,0.8605728851870751,1.0,-0.10355961144656099,0.0,-5.1393218236294,0.0
 0.8793955778462336,2.315063727235387,4.907753835489532,-4.023014820333919,0.8793955778462338,1.000000000000006,-0.09961127273525594,0.0,-5.050111872310024,0.0
 0.8979826726757517,2.3315392540629203,4.906567975618274,-4.116881728604221,0.8979826726757519,1.0,-0.09584839425953387,0.0,-4.960796677465292,0.0
 0.9163466836803582,2.3481535274516503,4.90534557261323,-4.207981853380809,0.9163466836803584,1.0,-0.0922598507724453,0.0,-4.871586712186158,0.0
 0.9344989724272125,2.3649048630211555,4.904087088210749,-4.29641230203575,0.9344989724272127,1.0,-0.08883530301648333,0.0,-4.782659644193489,0.0
 0.9524498852880413,2.3817915763910165,4.902792984147176,-4.38226540855167,0.9524498852880415,1.0,-0.08556513340304873,0.0,-4.694164933617972,0.0
 0.9702088706190752,2.398811983180813,4.9014637221588595,-4.465629014749245,0.9702088706190755,1.0,-0.08244038773109265,0.0,-4.606227743770629,0.0
 0.9877845793314978,2.4159643990101247,4.900099763982148,-4.546586731836837,0.987784579331498,1.0,-0.07945272253233163,0.0,-4.518952279242094,0.0
